id,"recipe","source","link"
1,"Cacio e Pepe","Serious Eats","https://www.seriouseats.com/recipes/2016/02/spaghetti-cacio-e-pepe-recipe.html"
2,"Cucumber Carrot Pickle","Cradle of Flavor p. 132",NULL
3,"Beef Randang","Cradle of Flavor p. 304",NULL
4,"Singapore Noodles","Cooks illustrated JULY/AUGUST 2014","https://www.cooksillustrated.com/recipes/7976-singapore-noodles"
5,"Rice Pilaf","Cooks Illustrated MARCH/APRIL 2000","https://www.cooksillustrated.com/recipes/516-basic-rice-pilaf"
6,"Pork Stir Fry","Serious Eats","https://www.seriouseats.com/recipes/2011/04/sichuan-chicken-with-peppercorns-and-chile-recipe.html"
7,"Jerk Chicken","Slowcooker revolution p. 152",NULL
8,"Spaghetti and Meatballs","Cooks Illustrated","https://www.cooksillustrated.com/recipes/762-classic-spaghetti-and-meatballs"
9,"Panna Cotta","Cooks Illustrated MAY/JUNE 2020","https://www.cooksillustrated.com/articles/2184-buttermilk-panna-cotta"
10,"Grain Salad","Splendid Table","https://www.splendidtable.org/recipes/grain-salad-with-many-flavors"
11,"Cubano","Cooks Illustrated","https://www.cooksillustrated.com/recipes/9079-cuban-style-sandwiches-cubano-with-smoked-pork-loin"
12,"White Bean and Mushroom Gratin","Cooks Illustrated","https://www.cooksillustrated.com/recipes/11234-white-bean-and-mushroom-gratin"
13,"Chicken Enchiladas","The Best Chicken Recipes, p.288",NULL
14,"Sichuan Green Beans","Cooks Illustrated MAY/JUNE 2016","https://www.cooksillustrated.com/recipes/3330-stir-fried-sichuan-green-beans"
15,"Pan Bagnat","Cooks Illustrated MAY/JUNE 2020","https://www.cooksillustrated.com/recipes/12580-pan-bagnat-provencal-tuna-sandwich"
16,"Pad Thai","Cooks Illustrated NOVEMBER/DECEMBER 2016","https://www.cooksillustrated.com/recipes/9251-everyday-pad-thai"
17,"Hoppin John","American Classics p. 99",NULL
18,"Red Beans and Rice","American Classics p. 97",NULL
19,"Pizza","Cooks Illustrated JANUARY/FEBRUARY 2011","https://www.cooksillustrated.com/recipes/6316-thin-crust-pizza"
20,"French Potato Salad","Complete Vegetarian Cookbook p. 271",NULL
21,"Vignole","The Guardian","https://www.theguardian.com/lifeandstyle/allotment/2010/apr/06/gardens"
22,"Brown Rice Bowl with Carrots, Kale and Eggs","Complete Vegetarian Cookbook p. 166",""
23,"Fideos","Complete Vegetarian Cookbook p. 133",""
24,"Fish Tagine","Cooks Illustrated JULY/AUGUST 2020","https://www.cooksillustrated.com/recipes/12828-moroccan-fish-tagine"
25,"Salade Lyonnaise","Cooks Illustrated MAY/JUNE 2020","https://www.cooksillustrated.com/recipes/12594-salade-lyonnaise"
26,"Brown Rice and Salmon Bowl","Cooks Illustrated JANUARY/FEBRUARY 2019","https://www.cooksillustrated.com/recipes/11312-brown-rice-bowl-with-vegetables-and-salmon"
